cn,artist,cardindex,colors,convertedManaCost,flavor_text,loyalty,manaCost,manaValue,mtgjsonV4Id,multiverseId,name,power,Price (Dollars),rarity,rules_text,setCode,subtypes,toughness,types
30,Christopher Moeller,31988,W,2,"""My faith is stronger than fang, claw, or mindless hunger.""",,{1}{W},2,e6c94fde-55ad-5b67-8656-06e9a91e4fa0,466784,Moment of Heroism,,0.01,common,Target creature gets +2/+2 and gains lifelink until end of turn. (Damage dealt by the creature also causes its controller to gain that much life.),M20,,,Instant
31,David Palumbo,31989,W,2,"Inquisitors are taught scripture, philosophy, and the fine art of sharpening an axe.",,{1}{W},2,9e43729d-861c-5b07-9a18-4f0d0032da4b,466785,Moorland Inquisitor,2,0.02,common,{2}{W}: Moorland Inquisitor gains first strike until end of turn. (It deals combat damage before creatures without first strike.),M20,"Human,Soldier",2,Creature
32,Jesper Ejsing,31990,W,2,"""Can't a fella get a moment's peace around here?""",,{1}{W},2,3561fa55-4882-55b4-b880-62d6d5ddc4f9,466786,Pacifism,,0.03,common,"Enchant creature
Enchanted creature can't attack or block.",M20,Aura,,Enchantment
33,Michael Komarck,31991,W,6,,,{3}{W}{W}{W},6,0adb3149-506e-51b8-888e-f10e706c036a,466787,Planar Cleansing,,0.23,rare,Destroy all nonland permanents.,M20,,,Sorcery
34,Zoltan Boros,31992,W,2,"Like blinking or breathing, responding to an alarm is an involuntary reflex.",,{1}{W},2,1115e4da-8bcc-5b8f-84b7-f54b31ff2be0,466788,Raise the Alarm,,0.02,common,Create two 1/1 white Soldier creature tokens.,M20,,,Instant
35,Scott M. Fischer,31993,W,3,The law is meant to ensure that people kill each other with only the utmost fairness.,,{2}{W},3,be42b6ee-3c11-59e8-921b-5e4a8dc4a8c4,466789,Rule of Law,,0.32,uncommon,Each player can't cast more than one spell each turn.,M20,,,Enchantment
36,Livia Prima,31994,W,7,,,{4}{W}{W}{W},7,2a083fb9-2bb1-5136-972e-7578e5b84671,466790,"Sephara, Sky's Blade",7,2.62,rare,"You may pay {W} and tap four untapped creatures you control with flying rather than pay this spell's mana cost.
Flying, lifelink
Other creatures you control with flying have indestructible. (Damage and effects that say ""destroy"" don't destroy them.)",M20,Angel,7,Creature
37,James Ryman,31995,W,1,"""Healing is more art than magic. Well, there is still quite a bit of magic.""",,{W},1,aae42055-45a0-5761-a210-dac757436242,466791,Soulmender,1,0.04,common,{T}: You gain 1 life.,M20,"Human,Cleric",1,Creature
38,Cristi Balanescu,31996,W,5,The strength of the one is the strength of the many.,,{4}{W},5,858703ed-c261-5d0c-8887-b731db333f13,466792,Squad Captain,2,0.01,common,"Vigilance
Squad Captain enters the battlefield with a +1/+1 counter on it for each other creature you control.",M20,"Human,Soldier",2,Creature
39,Eric Deschamps,31997,W,2,"""The realm of the gods opens before me!""",,{1}{W},2,90e9cce5-9c27-53ce-99b0-f5e73fe63e5f,466793,Starfield Mystic,2,5.08,rare,"Enchantment spells you cast cost {1} less to cast.
Whenever an enchantment you control is put into a graveyard from the battlefield, put a +1/+1 counter on Starfield Mystic.",M20,"Human,Cleric",2,Creature
40,Bram Sels,31998,W,3,"""Get up, slugabeds! We've got company, and they're not dressed for a party!""",,{2}{W},3,9cd4a3ec-e4a8-5036-89c9-4c7ac5ee94a5,466794,Steadfast Sentry,3,0.01,common,"Vigilance (Attacking doesn't cause this creature to tap.)
When Steadfast Sentry dies, put a +1/+1 counter on target creature you control.",M20,"Human,Soldier",2,Creature
41,Ryan Yee,31999,W,1,The courage of those who work the land is born of long days of labor in the hot summer sun and the cold winter wind. It is the courage of the earth itself.,,{W},1,d86bc182-20e5-546b-9ffa-ed7d5f1be60c,466795,Yoked Ox,0,0.02,common,,M20,Ox,4,Creature
42,Tomasz Jedruszek,32000,U,2,"The chill wind extinguishes flame, and frosts the leaf on the branch.",,{1}{U},2,83439ff9-2a32-57bd-a805-a075ca36d156,466796,Aether Gust,,0.24,uncommon,Choose target spell or permanent that's red or green. Its owner puts it on the top or bottom of their library.,M20,,,Instant
43,Igor Kieryluk,32001,U,7,"""The more secrets you have, the more easily you become my pawn.""",,{5}{U}{U},7,cafa1983-b283-5e3b-826f-f52f46c0114c,466797,Agent of Treachery,2,7.77,rare,"When Agent of Treachery enters the battlefield, gain control of target permanent.
At the beginning of your end step, if you control three or more permanents you don't own, draw three cards.",M20,"Human,Rogue",3,Creature
44,Tomasz Jedruszek,32002,U,5,"As the ship approached, the jade totem rose high overhead. Power rippled. Eyes of stone glowed and crackled. Out hissed a breath of the world, and a windstorm came alive.",,{3}{U}{U},5,f23c4f26-3d22-5c9a-96a6-f7e1c40e2db4,466798,Air Elemental,4,0.03,uncommon,Flying,M20,Elemental,4,Creature
45,Tyler Jacobson,32003,U,2,Divining the future is easy when you hold the power to sway it.,,{1}{U},2,e56bc25a-976c-5e20-81d6-0846b619713d,466799,Anticipate,,0.03,common,Look at the top three cards of your library. Put one of them into your hand and the rest on the bottom of your library in any order.,M20,,,Instant
46,Ryan Pancoast,32004,U,6,,,{3}{U}{U}{U},6,1188dc92-4161-5686-a4ae-dbf954b06035,466800,"Atemsis, All-Seeing",4,0.22,rare,"Flying
{2}{U}, {T}: Draw two cards, then discard a card.
Whenever Atemsis, All-Seeing deals damage to an opponent, you may reveal your hand. If cards with at least six different mana values are revealed this way, that player loses the game.",M20,Sphinx,5,Creature
47,Svetlin Velinov,32005,U,3,The trick to talking sense into Keldons is getting them to hold still.,,{2}{U},3,f61ca503-9a02-50f9-a989-f774cbfd74df,466801,Befuddle,,0.02,common,"Target creature gets -4/-0 until end of turn.
Draw a card.",M20,,,Instant
48,Clint Cearley,32006,U,4,"""I can think of worse ways to go. On second thought, maybe not.""
â€”Ludevic, necro-alchemist",,{2}{U}{U},4,776ba4a4-9e65-57a9-875e-5f0e327d94fb,466802,Bone to Ash,,0.02,common,"Counter target creature spell.
Draw a card.",M20,,,Instant
49,Victor Adame Minguez,32007,U,5,Winter's breath given form.,,{4}{U},5,e1ec649b-c3e4-59ca-a9ed-8884e8ee8480,466803,Boreal Elemental,3,0.02,common,"Flying
Spells your opponents cast that target Boreal Elemental cost {2} more to cast.",M20,Elemental,4,Creature
50,Caio Monteiro,32008,U,2,"""I always attack from where their spyglasses can't see.""",,{1}{U},2,7dd4f91e-3d71-50a4-bf98-472311d6d67d,466804,Brineborn Cutthroat,2,0.09,uncommon,"Flash (You may cast this spell any time you could cast an instant.)
Whenever you cast a spell during an opponent's turn, put a +1/+1 counter on Brineborn Cutthroat.",M20,"Merfolk,Pirate",1,Creature
51,Anthony Palumbo,32009,U,6,"""That's enough of that.""
â€”Atemsis, All-Seeing",,{4}{U}{U},6,bb1baba6-d8d3-56ec-8395-9e149d553e4d,466805,Captivating Gyre,,0.03,uncommon,Return up to three target creatures to their owners' hands.,M20,,,Sorcery
52,Viktor Titov,32010,U,5,,,{2}{U}{U}{U},5,ffc44cc3-ab1c-5bba-ba77-fc4cecf84484,466806,Cavalier of Gales,5,1.90,mythic,"Flying
When Cavalier of Gales enters the battlefield, draw three cards, then put two cards from your hand on top of your library in any order.
When Cavalier of Gales dies, shuffle it into its owner's library, then scry 2.",M20,"Elemental,Knight",5,Creature
53,Daniel Ljunggren,32011,U,2,Dragons avoid the bright colors of its wings.,,{1}{U},2,ef70d1c9-c995-5e26-b17c-dc56eca30536,466807,Cerulean Drake,1,0.12,uncommon,"Flying
Protection from red (This creature can't be blocked, targeted, dealt damage, enchanted, or equipped by anything red.)
Sacrifice Cerulean Drake: Counter target spell that targets you.",M20,Drake,1,Creature
54,Anastasia Ovchinnikova,32012,U,3,"""I can see which way the wind is blowing.""",,{2}{U},3,b1093aa5-4c9c-5423-b6c8-f71dc89a6c52,466808,Cloudkin Seer,2,0.17,common,"Flying
When Cloudkin Seer enters the battlefield, draw a card.",M20,"Elemental,Wizard",1,Creature
55,Viktor Titov,32013,U,3,"""Let's see how badly you want what you came for!""",,{2}{U},3,41961449-ded7-54e2-b3f2-c4184a07a9b4,466809,Convolute,,0.01,common,Counter target spell unless its controller pays {4}.,M20,,,Instant
56,Chris Seaman,32014,U,4,"""From a sea of infinite possibilities, our choices create the future.""
â€”Mu Yanling",,{2}{U}{U},4,b7a4cdff-73ab-5baa-b0d1-3c8521852720,466810,Drawn from Dreams,,0.20,rare,Look at the top seven cards of your library. Put two of them into your hand and the rest on the bottom of your library in a random order.,M20,,,Sorcery
57,Nils Hamm,32015,U,4,,,{2}{U}{U},4,269b52e7-efee-53d2-af73-f4fce0a32a90,466811,Dungeon Geists,3,0.09,rare,"Flying
When Dungeon Geists enters the battlefield, tap target creature an opponent controls. That creature doesn't untap during its controller's untap step for as long as you control Dungeon Geists.",M20,Spirit,3,Creature
58,Steven Belledin,32016,U,1,One faerie distracts the judge while a second steals the law.,,{U},1,4444f03e-0712-5d1d-a4ba-ef6b90f70a1c,466812,Faerie Miscreant,1,0.21,common,"Flying
When Faerie Miscreant enters the battlefield, if you control another creature named Faerie Miscreant, draw a card.",M20,"Faerie,Rogue",1,Creature
59,Adam Paquette,32017,U,6,"""I have wept such a torrent as to scour the land clean.""
â€”Mu Yanling",,{4}{U}{U},6,dbd32276-ffd2-5ae1-8d7c-8659cad7920b,466813,Flood of Tears,,0.46,rare,"Return all nonland permanents to their owners' hands. If you return four or more nontoken permanents you control this way, you may put a permanent card from your hand onto the battlefield.",M20,,,Sorcery
60,Vincent Proce,32018,U,4,"Unbreakable and unappetizing, the crab grows uninterrupted, sometimes to the size of a cottage and beyond.",,{3}{U},4,9263b8b5-96bb-5599-be8a-b931531a9cb6,466814,Fortress Crab,1,0.01,common,,M20,Crab,6,Creature
61,Steven Belledin,32019,U,6,"""Reel it in. No, wait! Throw it back!""
â€”Gertrude, deep-sea angler",,{4}{U}{U},6,50f8d518-6b5c-5517-b797-e3d9ad926dcb,466815,Frilled Sea Serpent,4,0.01,common,{5}{U}{U}: Frilled Sea Serpent can't be blocked this turn.,M20,Serpent,6,Creature
62,Izzy,32020,U,3,"It readily attacks much larger prey, knowing retaliation is impossible.",,{2}{U},3,88450005-af1a-5bb8-ba76-42def1ebdae5,466816,Frost Lynx,2,0.01,common,"When Frost Lynx enters the battlefield, tap target creature an opponent controls. That creature doesn't untap during its controller's next untap step.",M20,"Elemental,Cat",2,Creature
63,PINDURSKI,32021,U,1,"A good book is a refuge, but a great book is a fortress.",,{U},1,1d9a5a3d-cd57-5f56-9519-356ed0944347,466817,Hard Cover,,0.03,uncommon,"Enchant creature
Enchanted creature gets +0/+2 and has ""{T}: Draw a card, then discard a card.""",M20,Aura,,Enchantment
64,Noah Bradley,32022,U,4,,,{2}{U}{U},4,238aeb18-73eb-5246-a7ab-230d2b06fa83,466818,Leyline of Anticipation,,7.62,rare,"If Leyline of Anticipation is in your opening hand, you may begin the game with it on the battlefield.
You may cast spells as though they had flash.",M20,,,Enchantment
65,Victor Adame Minguez,32023,U,6,,,{5}{U},6,99fc59be-3afc-5b4b-96bb-8bfefe03ef28,466819,Masterful Replication,,0.16,rare,"Choose one â€”
â€¢ Create two 3/3 colorless Golem artifact creature tokens.
â€¢ Choose target artifact you control. Each other artifact you control becomes a copy of that artifact until end of turn.",M20,,,Instant
66,Scott Chou,32024,U,2,"""Well, if that goblin didn't want his tongue pierced, he shouldn't have stuck it out at me.""",,{1}{U},2,b87ec795-f6a0-5cf7-80dd-8034f838edf6,466820,Metropolis Sprite,1,0.03,common,"Flying
{U}: Metropolis Sprite gets +1/-1 until end of turn.",M20,"Faerie,Rogue",2,Creature
67,Rudy Siswanto,32025,U,2,"""Come on, it's not even that deep!""
â€”Gorin the Brazen",,{1}{U},2,376e02a9-551a-5777-ac66-a46b14eccfff,466821,Moat Piranhas,3,0.01,common,Defender (This creature can't attack.),M20,Fish,3,Creature
68,G-host Lee,32026,U,3,,2,{1}{U}{U},3,69cfc698-0926-5953-a5d9-84dba8bd15f7,466822,"Mu Yanling, Sky Dancer",,1.96,mythic,"[+2]: Until your next turn, up to one target creature gets -2/-0 and loses flying.
[âˆ’3]: Create a 4/4 blue Elemental Bird creature token with flying.
[âˆ’8]: You get an emblem with ""Islands you control have '{T}: Draw a card.'""",M20,Yanling,,Planeswalker
69,Magali Villeneuve,32027,U,2,"""As one, nature lifts its voice to tell you this: 'No.'""",,{1}{U},2,496f2591-188b-53b8-9842-bb2b11638569,466823,Negate,,0.13,common,Counter target noncreature spell.,M20,,,Instant
70,Grzegorz Rutkowski,32028,U,4,"In every swirl of the tide, it sees the awakening of things yet to come.",,{3}{U},4,44bc5b9f-3c3b-5575-a6a3-fc77a777bacd,466824,Octoprophet,3,0.04,common,"When Octoprophet enters the battlefield, scry 2. (Look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)",M20,Octopus,3,Creature
71,Randy Vargas,32029,U,3,"""If you need to disappear for a while, I know a place.""
â€”Bilivus, master archivist",,{2}{U},3,ce95476b-404b-5906-8b09-74d1983af8c0,466825,Portal of Sanctuary,,0.11,uncommon,"{1}, {T}: Return target creature you control and each Aura attached to it to their owners' hands. Activate only during your turn.",M20,,,Artifact
72,Eric Deschamps,32030,U,2,,,{1}{U},2,94c763e7-249c-5178-b21d-dbf71ce24003,466826,Renowned Weaponsmith,1,0.07,uncommon,"{T}: Add {C}{C}. Spend this mana only to cast artifact spells or activate abilities of artifacts.
{U}, {T}: Search your library for a card named Heart-Piercer Bow or Vial of Dragonfire, reveal it, put it into your hand, then shuffle.",M20,"Human,Artificer",3,Creature
73,Svetlin Velinov,32031,U,3,"""Forget what you have learned from other teachers. I bring you the truth.""",,{2}{U},3,d588fc5a-1f94-51da-96c8-ca4b26c7554a,466827,Sage's Row Denizen,2,0.04,common,"Whenever another blue creature enters the battlefield under your control, target player mills two cards.",M20,"Vedalken,Wizard",3,Creature
74,Micah Epstein,32032,U,7,"""I study the past to find hope for the future.""",,{5}{U}{U},7,bb7c7c60-fd2f-5e16-b6f9-4fc7205d20da,466828,Scholar of the Ages,3,0.09,uncommon,"When Scholar of the Ages enters the battlefield, return up to two target instant and/or sorcery cards from your graveyard to your hand.",M20,"Human,Wizard",3,Creature
75,Josu Hernaiz,32033,U,4,Sleep doesn't always mean rest.,,{3}{U},4,9573748a-8d38-506f-be3b-50bca6a012ea,466829,Sleep Paralysis,,0.02,common,"Enchant creature
When Sleep Paralysis enters the battlefield, tap enchanted creature.
Enchanted creature doesn't untap during its controller's untap step.",M20,Aura,,Enchantment
76,Cristi Balanescu,32034,U,1,"""Any ship that sails on these mean seas for long is bound to pick up a ghost or two.""
â€”Admiral Beckett Brass",,{U},1,55f128dc-39dc-547a-97bc-746992d76834,466830,Spectral Sailor,1,0.17,uncommon,"Flash (You may cast this spell any time you could cast an instant.)
Flying
{3}{U}: Draw a card.",M20,"Spirit,Pirate",1,Creature
77,Randy Vargas,32035,U,2,"""When you are gone, will anyone remember your story?""
â€”Unknown",,{1}{U},2,738e5d4d-3256-5f64-932a-1eafb663954c,466831,Tale's End,,1.69,rare,"Counter target activated ability, triggered ability, or legendary spell.",M20,,,Instant
78,Izzy,32036,U,1,"""Don't you have somewhere else to be?""
â€”Sharuum the Hegemon",,{U},1,201168a3-b0fe-563c-aec2-03929ad3ad51,466832,Unsummon,,0.07,common,Return target creature to its owner's hand.,M20,,,Instant
79,Nils Hamm,32037,U,3,"On Evos Isle, the swift and formidable aven enforce the will of the ruling sphinxes.",,{2}{U},3,998c068f-823c-50dc-be81-44159b203c74,466833,Warden of Evos Isle,2,0.05,uncommon,"Flying
Creature spells with flying you cast cost {1} less to cast.",M20,"Bird,Wizard",2,Creature
80,Chris Seaman,32038,U,3,"Magic written across the sky falls like rain on thirsty ground, bringing forth wisdom in its season.",,{2}{U},3,8dd73fc8-9969-5501-ac5a-ca0ce1f6cf5d,466834,Winged Words,,0.12,common,"This spell costs {1} less to cast if you control a creature with flying.
Draw two cards.",M20,,,Sorcery
81,Randy Vargas,32039,U,4,"""Yarok's waters rush and rage
Where armies bled into the sand.""
â€”*Lament for Bala Ged*, stanza 2",,{3}{U},4,5c9a0069-ab69-5ebb-911a-ab403a2a68f9,466835,Yarok's Wavecrasher,4,0.02,uncommon,"When Yarok's Wavecrasher enters the battlefield, return another creature you control to its owner's hand.",M20,Elemental,4,Creature
82,Steve Prescott,32040,U,2,"""The knights charged forward on wings of wind, and the necromancer's horde roared in helpless rage.""
â€”Krinnea, *Siege of the Bone Spire*",,{1}{U},2,630639d9-608d-572c-b776-99ce5e7b8b2e,466836,Zephyr Charge,,0.02,common,{1}{U}: Target creature gains flying until end of turn.,M20,,,Enchantment
83,Seb McKinnon,32041,B,4,"""Your death will take a mere moment, but it will feel like an eternity.""
â€”Vilis, Broker of Blood",,{3}{B},4,a3213f17-f973-5564-8a93-e39bdd757c20,466837,Agonizing Syphon,,0.03,common,Agonizing Syphon deals 3 damage to any target and you gain 3 life.,M20,,,Sorcery
84,Dmitry Burmak,32042,B,3,"""Skill, imagination, smarts: none of it matters unless you have the nerve to use it.""",,{2}{B},3,86026fef-6f73-5348-a40a-a9c77bea8912,466838,Audacious Thief,2,0.09,common,"Whenever Audacious Thief attacks, you draw a card and you lose 1 life.",M20,"Human,Rogue",2,Creature
85,Daarken,32043,B,3,"""Poor little sun-dweller out past curfew. And to think, you might have survived if it wasn't so close to suppertime.""",,{2}{B},3,708c4f96-f9de-5a35-b0e5-19933d14b81f,466839,Barony Vampire,3,0.02,common,,M20,Vampire,2,Creature
86,Winona Nelson,32044,B,2,"""One knife, two knives, three knives, fourâ€”which will drop you to the floor?""",,{1}{B},2,2828ac64-eca6-5c71-998d-5044d0be8fe0,466840,Bladebrand,,0.01,common,"Target creature gains deathtouch until end of turn.
Draw a card.",M20,,,Instant
87,Jason Kang,32045,B,2,Leaf and soul alike wither at its touch.,,{1}{B},2,9d3ce35c-2e42-5429-9266-a7463a169d0e,466841,Blightbeetle,1,0.24,uncommon,"Protection from green (This creature can't be blocked, targeted, dealt damage, enchanted, or equipped by anything green.)
Creatures your opponents control can't have +1/+1 counters put on them.",M20,Insect,1,Creature
88,Cristi Balanescu,32046,B,2,"""You've heard that a vampire can't enter a home without an invitation? A lie meant to help you sleep at night.""
â€”Kerin, watch sergeant",,{1}{B},2,6641a2b9-6322-5cf7-9e7c-3c02ab866c23,466842,Blood Burglar,2,0.03,common,"As long as it's your turn, Blood Burglar has lifelink. (Damage dealt by this creature also causes you to gain that much life.)",M20,"Vampire,Rogue",2,Creature
89,Seb McKinnon,32047,B,4,,,{3}{B},4,b9801607-087c-510b-9533-6c694c7c35f1,466843,Blood for Bones,,0.45,uncommon,"As an additional cost to cast this spell, sacrifice a creature.
Return a creature card from your graveyard to the battlefield, then return another creature card from your graveyard to your hand.",M20,,,Sorcery
90,Sidharth Chaturvedi,32048,B,6,"Blood seeps into the stone, and darkness emerges.",,{4}{B}{B},6,fbb81dda-9e41-5c2e-af98-eaecfb246528,466844,Bloodsoaked Altar,,0.03,uncommon,"{T}, Pay 2 life, Discard a card, Sacrifice a creature: Create a 5/5 black Demon creature token with flying. Activate only as a sorcery.",M20,,,Artifact
91,Igor Kieryluk,32049,B,3,"A circus acrobat in life, she kills with such fluid grace that even her victims are awed by her performance.",,{1}{B}{B},3,6bfc96b3-e4a5-5d8f-85ae-9b19021869d3,466845,Bloodthirsty Aerialist,2,0.26,uncommon,"Flying
Whenever you gain life, put a +1/+1 counter on Bloodthirsty Aerialist.",M20,"Vampire,Rogue",3,Creature
92,Cole Eastburn,32050,B,1,"""I will make your bones into a weapon that will lay even the mighty low.""
â€”Modriss of Zargoth Fen",,{B},1,fb1e876d-3c99-5d88-abc1-65576aa9d839,466846,Bone Splinters,,0.08,common,"As an additional cost to cast this spell, sacrifice a creature.
Destroy target creature.",M20,,,Sorcery
93,Robbie Trevino,32051,B,5,"""Living or dead, everyone responds to the proper motivation.""",,{3}{B}{B},5,485ce9d9-f8f0-5372-b4fd-987ef48911c5,466847,Boneclad Necromancer,3,0.03,common,"When Boneclad Necromancer enters the battlefield, you may exile target creature card from a graveyard. If you do, create a 2/2 black Zombie creature token.",M20,"Human,Wizard",3,Creature
94,Viktor Titov,32052,B,5,,,{2}{B}{B}{B},5,a0cd3f41-900f-5258-b6a9-4b2f713e06c4,466848,Cavalier of Night,4,2.81,mythic,"Lifelink
When Cavalier of Night enters the battlefield, you may sacrifice another creature. When you do, destroy target creature an opponent controls.
When Cavalier of Night dies, return target creature card with mana value 3 or less from your graveyard to the battlefield.",M20,"Elemental,Knight",5,Creature
95,Justin Sweet,32053,B,1,"""Let this serve as a reminder of your failure.""
â€”Exdratha, bog witch",,{B},1,874aa1fc-c8f8-5b62-9e62-6ba58e6f6eb5,466849,Disfigure,,0.06,uncommon,Target creature gets -2/-2 until end of turn.,M20,,,Instant
96,Anthony Palumbo,32054,B,4,"It beckons silently, waiting in the darkness.",,{3}{B},4,b0da4962-b13f-5bab-a215-01d01096bbfc,466850,Dread Presence,3,1.87,rare,"Whenever a Swamp enters the battlefield under your control, choose one â€”
â€¢ You draw a card and you lose 1 life.
â€¢ Dread Presence deals 2 damage to any target and you gain 2 life.",M20,Nightmare,3,Creature
97,Steven Belledin,32055,B,1,Resistance is unthinkable.,,{B},1,c5ee6505-3a57-58b1-b445-f7367bb7f0bc,466851,Duress,,0.04,common,"Target opponent reveals their hand. You choose a noncreature, nonland card from it. That player discards that card.",M20,,,Sorcery
98,Igor Kieryluk,32056,B,3,"""I feel your pain. It's exquisite.""",,{1}{B}{B},3,1415a363-f586-52b4-9c1c-06c82e8b2609,466852,Embodiment of Agonies,0,0.29,rare,"Flying, deathtouch
Embodiment of Agonies enters the battlefield with a +1/+1 counter on it for each different mana cost among nonland cards in your graveyard. (For example, {2}{B} and {1}{B}{B} are different mana costs.)",M20,Demon,0,Creature
99,Anna Steinbauer,32057,B,5,"""Fleshy, with just a hint of leather. A fine vintage.""",,{4}{B},5,410cf2d0-2e16-5678-b9a2-88d5427559da,466853,Epicure of Blood,4,0.06,common,"Whenever you gain life, each opponent loses 1 life.",M20,Vampire,4,Creature
100,Josu Hernaiz,32058,B,4,"""It was a bad evening for you, mate. Now it's chow time for the sharks.""",,{3}{B},4,19023c3d-96cb-51f5-9570-7e8b54c60b30,466854,Fathom Fleet Cutthroat,3,0.01,common,"When Fathom Fleet Cutthroat enters the battlefield, destroy target creature an opponent controls that was dealt damage this turn.",M20,"Human,Pirate",3,Creature
101,Darek Zabrocki,32059,B,6,"""If you manage to get to the heart of the bog, you'll find things there that make zombies seem downright lovable.""
â€”Byaras, backwoods guide",,{5}{B},6,44046a2f-52cd-536c-af92-08d700791ac1,466855,Feral Abomination,5,0.01,common,Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.),M20,Thrull,5,Creature
102,Caio Monteiro,32060,B,3,,,{2}{B},3,b374cd91-b42f-5cf8-ba18-11fa32d23992,466856,Gorging Vulture,2,0.03,common,"Flying
When Gorging Vulture enters the battlefield, mill four cards. You gain 1 life for each creature card put into your graveyard this way.",M20,Bird,2,Creature
103,Tony Foti,32061,B,4,"In Amonkhet's ever-shifting sands, nothing stays buried for long.",,{3}{B},4,bcaa15c2-1b72-5399-90f4-a80c02b146d8,466857,Gravedigger,2,0.04,uncommon,"When Gravedigger enters the battlefield, you may return target creature card from your graveyard to your hand.",M20,Zombie,2,Creature
104,Karl Kopinski,32062,B,5,"His whips twist and tremble like living things, moved by the fury of the horde he commands.",,{3}{B}{B},5,f6d32e1d-0605-5dbb-b5e6-d10ac390f99b,466858,Gruesome Scourger,3,0.02,uncommon,"When Gruesome Scourger enters the battlefield, it deals damage to target opponent or planeswalker equal to the number of creatures you control.",M20,"Orc,Warrior",3,Creature
105,Alex Konstad,32063,B,1,,,{B},1,7be3ef44-e27e-5aee-8a49-d8d48c0d1d31,466859,Knight of the Ebon Legion,1,1.52,rare,"{2}{B}: Knight of the Ebon Legion gets +3/+3 and gains deathtouch until end of turn.
At the beginning of your end step, if a player lost 4 or more life this turn, put a +1/+1 counter on Knight of the Ebon Legion. (Damage causes loss of life.)",M20,"Vampire,Knight",2,Creature
106,David Palumbo,32064,B,2,"""With a single word, they were unmade.""
â€”Krinnea, *Siege of the Bone Spire*",,{1}{B},2,512c2d25-d040-58a2-a871-366ba4627ac2,466860,Legion's End,,0.28,rare,Exile target creature an opponent controls with mana value 2 or less and all other creatures that player controls with the same name as that creature. Then that player reveals their hand and exiles all cards with that name from their hand and graveyard.,M20,,,Sorcery
107,Noah Bradley,32065,B,4,,,{2}{B}{B},4,1595ce6d-81cc-5a2e-a70f-d89407c90e1d,466861,Leyline of the Void,,5.60,rare,"If Leyline of the Void is in your opening hand, you may begin the game with it on the battlefield.
If a card would be put into an opponent's graveyard from anywhere, exile it instead.",M20,,,Enchantment
108,Seb McKinnon,32066,B,3,Many an inventor has collapsed under the pressure to create a flawless design.,,{2}{B},3,ff22c101-db84-57ef-8b3a-e6fcb06fe6b0,466862,Mind Rot,,0.01,common,Target player discards two cards.,M20,,,Sorcery
109,Allen Williams,32067,B,3,"""By fate or by will, every reign must come to an end.""
â€”Kethis, the Hidden Hand",,{1}{B}{B},3,0849f4d7-f1cc-5b87-a5c9-442bf85cce41,466863,Murder,,0.10,common,Destroy target creature.,M20,,,Instant
110,Tomasz Jedruszek,32068,B,2,"""The bog doesn't give a stinking bubble about your title, wealth, or piety. It's just hungry.""
â€”Byaras, backwoods guide",,{1}{B},2,540d9477-58dc-52bb-9aee-9fd53d5ae621,466864,Noxious Grasp,,0.04,uncommon,Destroy target creature or planeswalker that's green or white. You gain 1 life.,M20,,,Instant
111,Randy Vargas,32069,B,3,"""Now, *that's* a zombie!""
â€”Modriss of Zargoth Fen",,{2}{B},3,7fb121f8-3453-560a-be66-4000fd1f6856,466865,Rotting Regisaur,7,1.71,rare,"At the beginning of your upkeep, discard a card.",M20,"Zombie,Dinosaur",6,Creature
112,Kev Walker,32070,B,1,His mind was lost long before his flesh.,,{B},1,383614c2-c1f8-506f-b580-155d9c16ee13,466866,Sanitarium Skeleton,1,0.01,common,{2}{B}: Return Sanitarium Skeleton from your graveyard to your hand.,M20,Skeleton,2,Creature
113,Seb McKinnon,32071,B,1,"""One for you, one for me. What could be more fair?""
â€”Kethis, the Hidden Hand",,{B},1,15591aa8-7bc7-5381-bb2c-84d55ad33c30,466867,Scheming Symmetry,,6.42,rare,"Choose two target players. Each of them searches their library for a card, then shuffles and puts that card on top.",M20,,,Sorcery
114,Caio Monteiro,32072,B,2,"""The Great Serpent slumbers now, but all warmbloods will grovel in the dirt at its awakening!""",,{1}{B},2,d309a375-87cf-5a21-96b5-863c25ce9131,466868,Sorcerer of the Fang,1,0.02,common,"{5}{B}, {T}: Sorcerer of the Fang deals 2 damage to target opponent or planeswalker.",M20,"Human,Wizard",3,Creature
115,Chase Stone,32073,B,3,,4,{2}{B},3,b47c27d3-f141-595e-b5e7-9a2baeffc6a1,466869,"Sorin, Imperious Bloodlord",,23.63,mythic,"[+1]: Target creature you control gains deathtouch and lifelink until end of turn. If it's a Vampire, put a +1/+1 counter on it.
[+1]: You may sacrifice a Vampire. When you do, Sorin, Imperious Bloodlord deals 3 damage to any target and you gain 3 life.
[âˆ’3]: You may put a Vampire creature card from your hand onto the battlefield.",M20,Sorin,,Planeswalker
116,Daarken,32074,B,3,The first mistake the Grimnant knights made was bullying the owner of an Urborg corpse shop. Their second mistake was dying.,,{2}{B},3,43cb19fb-68f8-51d4-b8a7-85672c6f9bf2,466870,Soul Salvage,,0.02,common,Return up to two target creature cards from your graveyard to your hand.,M20,,,Sorcery
